label,Motif
PC 19670183,Banquet
PC 19670184,Horse Race
PC 19670185,Banquet
PC 19670185,Female
PC 19670186,Guilloche
PC 19670186,Banquet
PC 19670186,Female
PC 19670187,Guilloche
PC 19670187,Banquet
PC 19670188,Banquet
PC 19670188,Guilloche
PC 19670188,Female
PC 19670189,Female
PC 19670189,Banquet
PC 19670190,Banquet
PC 19670190,Guilloche
PC 19670191,Banquet
PC 19670191,Guilloche
PC 19670192,Banquet
PC 19670192,Female
PC 19670193,Banquet
PC 19670194,0
PC 19670195,0
PC 19670196,0
PC 19670197,Deer
PC 19670198,0
PC 19670199,0
PC 19670200,0
PC 19670201,Female
PC 19670201,Banquet
PC 19670202,Female
PC 19670202,Banquet
PC 19670203,Banquet
PC 19670203,Female
PC 19670204,0
PC 19670205,0
PC 19670206,Banquet
PC 19670206,Female
PC 19670206,Guilloche
PC 19670207,0
PC 19670208,Female
PC 19670208,Banquet
PC 19670208,Guilloche
PC 19670209,Female
PC 19670209,Banquet
PC 19670210,Female
PC 19670210,Banquet
PC 19670211,Female
PC 19670211,Banquet
PC 19670212,Banquet
PC 19670212,Female
PC 19670213,Banquet
PC 19670213,Female
PC 19670214,Female
PC 19670214,Banquet
PC 19670215,Banquet
PC 19670215,Female
PC 19670216,Guilloche
PC 19670216,Banquet
PC 19670217,Female
PC 19670217,Banquet
PC 19670218,Female
PC 19670218,Banquet
PC 19670219,Banquet
PC 19670220,Banquet
PC 19670221,Banquet
PC 19670222,Banquet
PC 19670222,Female
PC 19670222,Guilloche
PC 19670223,Banquet
PC 19670224,Female
PC 19670224,Banquet
PC 19670225,Guilloche
PC 19670225,Banquet
PC 19670226,Banquet
PC 19670227,Banquet
PC 19670228,Horse Race
PC 19670229,Horse Race
PC 19670230,Seated Figure
PC 19670230,Guilloche
PC 19670230,Lotus
PC 19670231,Procession
PC 19670231,Guilloche
PC 19670232,Procession
PC 19670232,Female
PC 19670233,Procession
PC 19670234,Seated Figure
PC 19670234,Procession
PC 19670235,Procession
PC 19670235,Female
