motif,dec_tec,weight
Female,Stamped,4
Female,Stippled,0
Figure,No Decorative Technique,1
Figure,Applique,1
Figure,Beveled,1
Figure,Bifurcated,0
Figure,Burnished,0
Figure,Cavetto,0
Figure,Fenestrated,0
Figure,Finger Incised,0
Figure,Fluted,2
Figure,Impressed,0
Figure,Incised,6
Figure,Inlay,0
Figure,Inscribed,1
Figure,Letters,0
Figure,Molded,3
Figure,Other,0
Figure,Painted,3
Figure,Pierced,0
Figure,Plastic,0
Figure,Punched,0
Figure,Relief,8
Figure,Reticulated,0
Figure,Ribbed,1
Figure,Ridged,1
Figure,Roulette,1
Figure,Scalloped,0
Figure,Slipped,0
Figure,Stamped,3
Figure,Stippled,0
Florette,No Decorative Technique,0
Florette,Applique,0
Florette,Beveled,0
Florette,Bifurcated,0
Florette,Burnished,0
Florette,Cavetto,0
Florette,Fenestrated,0
Florette,Finger Incised,0
Florette,Fluted,0
Florette,Impressed,0
Florette,Incised,1
Florette,Inlay,0
Florette,Inscribed,0
Florette,Letters,0
Florette,Molded,0
Florette,Other,0
Florette,Painted,0
Florette,Pierced,0
Florette,Plastic,0
Florette,Punched,0
Florette,Relief,0
Florette,Reticulated,0
Florette,Ribbed,0
Florette,Ridged,0
Florette,Roulette,0
Florette,Scalloped,0
Florette,Slipped,0
Florette,Stamped,3
Florette,Stippled,0
Flower,No Decorative Technique,13
Flower,Applique,0
Flower,Beveled,0
Flower,Bifurcated,0
Flower,Burnished,0
Flower,Cavetto,0
Flower,Fenestrated,0
Flower,Finger Incised,0
Flower,Fluted,0
Flower,Impressed,3
Flower,Incised,23
Flower,Inlay,1
Flower,Inscribed,2
Flower,Letters,0
Flower,Molded,6
Flower,Other,0
Flower,Painted,3
Flower,Pierced,0
Flower,Plastic,0
Flower,Punched,0
Flower,Relief,6
Flower,Reticulated,0
Flower,Ribbed,0
Flower,Ridged,0
Flower,Roulette,0
Flower,Scalloped,0
Flower,Slipped,0
Flower,Stamped,16
Flower,Stippled,0
Geometric,No Decorative Technique,14
Geometric,Applique,1
Geometric,Beveled,1
Geometric,Bifurcated,0
Geometric,Burnished,0
Geometric,Cavetto,0
Geometric,Fenestrated,0
Geometric,Finger Incised,0
Geometric,Fluted,0
Geometric,Impressed,2
Geometric,Incised,8
Geometric,Inlay,0
Geometric,Inscribed,0
Geometric,Letters,0
Geometric,Molded,2
Geometric,Other,0
Geometric,Painted,1
Geometric,Pierced,0
Geometric,Plastic,0
Geometric,Punched,0
Geometric,Relief,0
Geometric,Reticulated,0
Geometric,Ribbed,1
Geometric,Ridged,2
Geometric,Roulette,0
Geometric,Scalloped,0
Geometric,Slipped,0
Geometric,Stamped,8
