motifs1,motifs2,weights
Seated Figure,Male,1
Seated Figure,Panther,0
Seated Figure,Lion,0
Seated Figure,Dots,0
Seated Figure,Meander,1
Seated Figure,Geometric,0
Seated Figure,Volute,0
Seated Figure,Potnia Theron,0
Seated Figure,Bearded Head,1
Seated Figure,Bucrania,0
Seated Figure,Rabbit,0
Seated Figure,Warrior,0
Seated Figure,Hair,5
Seated Figure,Griffin,0
Seated Figure,Quadruped,0
Seated Figure,Bearded,0
Seated Figure,Notches,0
Seated Figure,Bull,0
Seated Figure,Figure,2
Seated Figure,Stag,0
Seated Figure,Chevron,0
Seated Figure,Duck,0
Seated Figure,Wrestler,0
Seated Figure,Umpire,0
Seated Figure,Bean,0
Seated Figure,Cross-Hatched,0
Seated Figure,Triangular,0
Seated Figure,Ray,0
Seated Figure,Vegetal,0
Seated Figure,Caryatid,0
Seated Figure,Braid,0
Seated Figure,Florette,0
Seated Figure,Asterisk,1
Seated Figure,Chevrons,0
Seated Figure,Other,0
Bird,Rosette,0
Bird,Circles,2
Bird,Female,2
Bird,Palmette,0
Bird,Gorgon,0
Bird,Tongue,1
Bird,Ram,0
Bird,Banquet,0
Bird,Guilloche,0
Bird,Horse,0
Bird,Horse Race,0
Bird,Feline,1
Bird,Deer,0
Bird,Lotus,1
Bird,Procession,1
Bird,Seated Figure,1
Bird,Bird,27
Bird,Flower,0
Bird,Sphinx,2
Bird,Animal,1
Bird,Male,1
Bird,Panther,0
Bird,Lion,1
Bird,Dots,0
Bird,Meander,0
Bird,Geometric,0
Bird,Volute,1
Bird,Potnia Theron,1
Bird,Bearded Head,1
Bird,Bucrania,0
Bird,Rabbit,0
Bird,Warrior,0
Bird,Hair,0
Bird,Griffin,0
Bird,Quadruped,0
Bird,Bearded,0
Bird,Notches,0
Bird,Bull,0
Bird,Figure,0
Bird,Stag,0
Bird,Chevron,0
Bird,Duck,2
Bird,Wrestler,0
Bird,Umpire,0
Bird,Bean,0
Bird,Cross-Hatched,0
Bird,Triangular,0
Bird,Ray,0
Bird,Vegetal,0
Bird,Caryatid,0
Bird,Braid,0
Bird,Florette,0
Bird,Asterisk,0
Bird,Chevrons,0
Bird,Other,0
Flower,Rosette,1
Flower,Circles,3
Flower,Female,3
Flower,Palmette,5
Flower,Gorgon,0
Flower,Tongue,1
Flower,Ram,0
Flower,Banquet,1
Flower,Guilloche,1
Flower,Horse,0
Flower,Horse Race,0
Flower,Feline,1
Flower,Deer,0
Flower,Lotus,15
Flower,Procession,0
Flower,Seated Figure,3
Flower,Bird,0
Flower,Flower,59
Flower,Sphinx,0
Flower,Animal,0
Flower,Male,0
Flower,Panther,0
Flower,Lion,0
Flower,Dots,1
Flower,Meander,0
Flower,Geometric,0
Flower,Volute,5
Flower,Potnia Theron,0
Flower,Bearded Head,0
Flower,Bucrania,0
Flower,Rabbit,0
Flower,Warrior,0
Flower,Hair,0
Flower,Griffin,0
Flower,Quadruped,0
Flower,Bearded,0
Flower,Notches,0
Flower,Bull,0
Flower,Figure,1
Flower,Stag,0
Flower,Chevron,0
Flower,Duck,0
Flower,Wrestler,0
